name,category,calories_per_100g,default_serving_g,is_vegetarian,protein_g,iron_mg,calcium_mg,vitamin_c_mg,vitamin_a_mcg,vitamin_d_mcg,fiber_g,zinc_mg,folate_mcg
Rice (White Cooked),grains,130,150,True,2.7,0.2,10,0,0,0,0.4,0.5,2
Rice (Brown Cooked),grains,123,150,True,2.7,0.5,10,0,0,0,1.8,0.6,4
Wheat Roti,grains,297,40,True,9.7,3.5,30,0,0,0,11.4,2.0,30
Oats (Cooked),grains,71,240,True,2.5,0.6,9,0,0,0,1.7,0.6,6
Bread (Whole Wheat),grains,247,30,True,13.0,3.6,107,0,0,0,6.8,1.8,42
Bread (White),grains,265,30,True,9.4,3.3,151,0,0,0,2.7,0.8,36
Corn (Boiled),grains,96,100,True,3.4,0.5,2,7,10,0,2.4,0.5,19
Quinoa (Cooked),grains,120,185,True,4.4,1.5,17,0,0,0,2.8,1.1,42
Poha (Flattened Rice),grains,346,100,True,6.6,2.0,12,0,0,0,1.0,1.2,8
Semolina (Suji),grains,360,100,True,12.7,1.2,17,0,0,0,3.9,1.0,72
Chickpeas (Cooked),pulses,164,150,True,8.9,2.9,49,1,1,0,7.6,1.5,172
Lentils (Masoor Dal Cooked),pulses,116,200,True,9.0,3.3,19,2,8,0,7.9,1.3,181
Moong Dal (Cooked),pulses,105,200,True,7.0,1.4,15,1,1,0,5.0,0.8,159
Toor Dal (Cooked),pulses,127,200,True,8.5,2.4,20,0,3,0,6.0,1.1,150
Kidney Beans (Rajma Cooked),pulses,127,175,True,8.7,2.2,28,1,0,0,6.4,1.0,130
Black Chickpeas (Kala Chana),pulses,164,150,True,8.9,2.9,49,1,1,0,7.6,1.5,172
Soybeans (Cooked),pulses,173,180,True,16.6,5.1,102,2,1,0,6.0,1.0,54
Green Peas (Cooked),pulses,84,160,True,5.4,1.5,27,14,38,0,5.5,1.2,65
Peanuts (Raw),pulses,567,30,True,25.8,4.6,92,0,0,0,8.5,3.3,240
Spinach (Raw),vegetables,23,100,True,2.9,2.7,99,28,469,0,2.2,0.5,194
Spinach (Cooked),vegetables,23,180,True,3.0,3.6,136,10,524,0,2.4,0.8,146
Carrot (Raw),vegetables,41,80,True,0.9,0.3,33,6,835,0,2.8,0.2,19
Tomato (Raw),vegetables,18,150,True,0.9,0.3,10,14,42,0,1.2,0.2,15
